family,n,instance,m,prop_n,prop_m,prop_density,prop_avg_degree,prop_max_degree,prop_min_degree,prop_degree_std,prop_clustering_coeff,prop_diameter,prop_avg_path_length,prop_spectral_gap,prop_lambda_max_laplacian,prop_algebraic_connectivity,prop_spectral_radius,prop_lambda_min_adj,prop_n_components,random_cut,random_time,greedy_cut,greedy_time,spectral_cut,spectral_time,gw_cut,gw_time,gnn_cut,gnn_time,best_classical_cut,gnn_wins,gnn_ties
erdos_renyi,50,14,180,50,180,0.1469387755102041,7.2,12,1,2.4657656011875906,0.133004329004329,4,2.1518367346938776,0.894511947023929,14.848032038041898,0.894511947023929,8.074404034168104,-4.668070508207524,1,87.0,0.0007684170268476,123.0,0.001486417138949,125.0,0.002195875160396,132.0,0.0914869590196758,128.0,0.0609985420014709,132.0,0,0
erdos_renyi,50,15,177,50,177,0.1444897959183673,7.08,14,2,2.3395726105423615,0.1462206682206682,4,2.1518367346938776,1.704573116834599,15.789553258330788,1.704573116834599,7.860730648911138,-4.548395439450866,1,82.0,0.0005335831083357,123.0,0.0014742498751729,124.0,0.0028495842125266,135.0,0.0915767080150544,126.0,0.0649091668892651,135.0,0,0
erdos_renyi,50,16,167,50,167,0.1363265306122449,6.68,12,2,2.4774180107523236,0.147011544011544,4,2.236734693877551,1.3535536941475237,14.009885944041676,1.3535536941475237,7.604797438094929,-4.701486391187759,1,89.0,0.0005478330422192,120.0,0.0026572907809168,122.0,0.0020491671748459,123.0,0.0765900409314781,115.0,0.0567432909738272,123.0,0,0
erdos_renyi,50,17,201,50,201,0.1640816326530612,8.04,13,3,2.6302851556437754,0.1568497058497058,4,2.053061224489796,2.3420801136108107,15.89162823854873,2.3420801136108107,8.879141270433397,-5.385366316511316,1,101.0,0.0005477918311953,135.0,0.0019751670770347,151.0,0.0027243748772889,151.0,0.1104263749439269,143.0,0.0556757498998194,151.0,0,0
erdos_renyi,50,18,197,50,197,0.1608163265306122,7.88,13,3,2.2417850030723283,0.1476838716838716,4,2.0718367346938775,2.307557649096468,15.869334167833207,2.307557649096468,8.580097294805833,-4.914218665144847,1,103.0,0.0005453329067677,140.0,0.0019503750372678,143.0,0.002251457888633,144.0,0.0810535000637173,142.0,0.0660113331396132,144.0,0,0
erdos_renyi,50,19,178,50,178,0.1453061224489795,7.12,12,2,2.303388807822075,0.1403665223665223,4,2.153469387755102,1.740748882329073,14.479818539110385,1.740748882329073,7.962057846773584,-4.777386062760103,1,88.0,0.0006524578202515,120.0,0.002153999870643,122.0,0.0025368749629706,132.0,0.0988997081294655,126.0,0.0601314171217381,132.0,0,0
erdos_renyi,50,20,210,50,210,0.1714285714285714,8.4,16,3,3.039736830714133,0.2006507936507936,3,2.0351020408163265,2.2438060464636833,17.805495617849367,2.2438060464636833,9.47299555486019,-4.807676987067277,1,91.0,0.0006627081893384,148.0,0.0034089998807758,137.0,0.0028669589664787,151.0,0.1110320831649005,144.0,0.0674120420590043,151.0,0,0
erdos_renyi,50,21,188,50,188,0.153469387755102,7.52,15,2,2.4432764886520726,0.1808672438672438,4,2.109387755102041,1.6211348548381377,16.70822431799592,1.6211348548381377,8.308775322873556,-4.868100252609442,1,82.0,0.0006340418476611,125.0,0.0021011249627918,135.0,0.0034088748507201,139.0,0.0997969580348581,136.0,0.0680049168877303,139.0,0,0
erdos_renyi,50,22,212,50,212,0.1730612244897959,8.48,13,4,2.183941391154992,0.1721783771783771,3,2.0171428571428573,2.9207083461109913,15.611331903289834,2.9207083461109913,9.068010857286437,-4.981116016018952,1,98.0,0.0005452090408653,139.0,0.0024339170195162,146.0,0.0031740830745548,155.0,0.0858269580639898,154.0,0.0696267080493271,155.0,0,0
erdos_renyi,50,23,169,50,169,0.1379591836734693,6.76,15,1,2.796855377026134,0.1565194805194805,4,2.2457142857142856,0.8252648611265696,16.666270104749287,0.8252648611265696,8.035671989073807,-4.933229557285758,1,88.0,0.0005245418287813,119.0,0.0014357499312609,123.0,0.0035533749032765,127.0,0.0861906670033931,114.0,0.0669299580622464,127.0,0,0
erdos_renyi,50,24,186,50,186,0.1518367346938775,7.44,14,1,2.757970268150112,0.146016095016095,4,2.1355102040816325,0.9213172212466468,16.08601197377782,0.9213172212466468,8.497780583245996,-4.853620656058331,1,91.0,0.0005419591907411,130.0,0.0018892500083893,134.0,0.0025486249942332,137.0,0.0890740000177174,135.0,0.0666418748442083,137.0,0,0
